	NC	TA	AP1	AR	ARNT1	B-catenin	Brachyury	cMyc	CRE	E2F1	ER	ETS1	FOXA	FOXOA3	GATA1	GATA2	GATA3	GATA6	GLI	GR	HIF1	HNF1A	HOXa1	HSTF	IRF	ISRE	KLF4	LHX8	MEF1	Mnx1	Myb1	Nanog	NeuroD	NFAT	NFkB	Nobox	Notch	p53	P53/73	PAX1	PEA3	POUF1	PR	PTTG	RAR	RXR	SMAD	SMAD3/4	Sox	SP1	SRE	SRF	STAT1	STAT3	STAT4	STAT5	WT1	YY1	repeats	time	treatment	Cell_Type	experiment
150	3.465366746	1	0.320875114	2.214220602	4.672743847	0.07657247	0.052871468	0.708295351	0.697356427	0.636280766	0.822242479	0.929808569	0.492251595	0.081130356	0.072014585	0.820419325	0.886052871	0.107566089	0.126709207	0.838650866	0.132178669	0.381950775	1.633546035	1.639927074	1.396536007	0.690975387	0.600729262	1.623518687	1.349134002	1.063810392	0.936189608	0.71467639	0.412032817	0.556973564	0.065633546	0.162260711	0.290793072	0.113035552	0.306289881	0.454876937	0.489516864	0.764813127	0.871467639	0.84047402	0.905195989	1.645396536	0.903372835	0.174111212	0.814038286	0.229717411	0.231540565	0.239744758	0.703737466	1.078395624	0.10118505	2.360984503	0.171376481	0.833181404	3	4	1	1	1
127	0	1	0.463333333	3.835833333	3.165	0.078333333	0.0825	1.293333333	0.975	2.6175	1.034166667	1.065833333	0.501666667	0.044166667	0.138333333	0.681666667	1.304166667	0.093333333	0.680833333	2.3325	0.220833333	0.735	2.024166667	2.260833333	2.210833333	1.098333333	1.085833333	2.588333333	1.6575	2.5375	1.185	2.261666667	0.353333333	0.336666667	0.144166667	0.151666667	1.019166667	0.135833333	0.569166667	0.358333333	0.516666667	0.75	1.156666667	1.641666667	0.573333333	1.690833333	1.370833333	0.230833333	1.1475	0.368333333	0.2125	0.5225	1.339166667	1.2675	0.084166667	1.471666667	0.315833333	1.439166667	1	4	2	2	1
128	3.425790842	1	0.3225	2.9175	3.8425	0.088333333	0.07	1.123333333	0.624166667	3.193333333	1.2825	1.025833333	0.4875	0.08	0.120833333	1.050833333	1.151666667	0.351666667	0.39	1.370833333	0.2225	0.608333333	2.4925	1.7425	2.516666667	0.705	1.210833333	2.481666667	2.1875	2.6675	1.378333333	2.393333333	0.445833333	0.578333333	0.085833333	0.158333333	1.22	0.0575	0.551666667	0.464166667	0.700833333	0.72	0.906666667	1.3525	0.8875	1.345	1.728333333	0.310833333	1.36	0.323333333	0.161666667	0.384166667	1.0125	1.419166667	0.075	2.3975	0.285833333	1.18	2	4	2	2	1
129	0	1	0.29	3.11	2.509166667	0.124166667	0.090833333	2.346666667	0.843333333	2.363333333	1.086666667	1.576666667	0.500833333	0.0825	0.1575	0.848333333	1.7325	0.153333333	0.594166667	1.060833333	0.125833333	0.755	2.588333333	1.7125	2.125833333	0.993333333	1.1625	2.035833333	1.5675	1.999166667	1.635833333	1.811666667	0.379166667	0.405	0.15	0.265	0.756666667	0.114166667	0.480833333	0.6775	0.549166667	0.72	0.931666667	1.4975	0.7975	1.550833333	1.66	0.3475	1.206666667	0.330833333	0.261666667	0.381666667	0.9925	2.251666667	0.131666667	1.831666667	0.318333333	1.1875	3	4	2	2	1
190	0	1.012753883	0.372597644	2.395536268	5.203967762	0.067575945	0.04649721	1.004959702	0.530068196	1.176069436	1.034097954	0.394296342	0.439553627	0.050216987	0.132052077	0.846249225	1.088654681	0.239925604	0.336639802	1.078115313	0.234965902	0.538127712	2.195908246	1.701797892	1.419094854	0.653440794	0.590824551	1.166150031	1.460632362	0.965282083	0.936763794	0.735275883	0.415375077	0.515809051	0.156230626	0.145691259	0.275883447	0.140111593	0.240545567	0.378177309	0.469311841	0.814011159	0.784252945	1.027278363	0.799132052	1.089274644	1.166769994	0.17482951	1.598264104	0.180409175	0.252324861	0.363918165	1.100433974	0.927464352	0.06199628	3.218846869	0.174209547	1.58400496	1	5	1	1	1
191	0	0.987246117	0.195288283	2.014879107	4.803471792	0.068815871	0.074395536	0.639801612	0.660880347	2.146931184	1.24550527	0.317420955	0.522628642	0.05083695	0.079975201	0.577805332	0.722256665	0.136391816	0.265344079	0.730936144	0.056416615	0.352758834	1.839429634	1.272783633	1.211407316	0.548047117	0.3849969	1.36949783	1.285802852	1.104773714	0.79417235	1.027278363	0.44699318	0.53750775	0.072535648	0.138871668	0.207067576	0.093614383	0.15933044	0.375697458	0.404215747	0.926844389	0.699318041	0.981401116	0.554246745	1.161190329	1.161190329	0.16367018	1.059516429	0.294482331	0.145691259	0.21016739	0.318040918	0.768133912	0.075015499	2.54866708	0.15933044	1.058896466	2	5	1	1	1
192	0	0.978322963	0.174209547	1.772473652	5.08617483	0.048357099	0.063856169	0.702417855	0.576565406	2.915685059	0.906385617	0.557346559	0.368877867	0.068195908	0.073775573	0.620582765	0.879727216	0.071295722	0.099814011	0.713577185	0.112213267	0.340359578	1.758214507	1.513949163	1.366398016	0.670799752	0.47117173	1.567885927	1.198388097	1.233725976	1.280223187	0.82083075	0.734035958	0.817110973	0.110973342	0.116553007	0.242405456	0.112213267	0.222566646	0.497210167	0.443273404	0.768753875	1	0.990080595	0.890266584	1.77433354	0.869187849	0.147551147	1.071915685	0.207067576	0.185368878	0.228146311	0.594544327	1.218226906	0.076255425	2.267823931	0.208307502	0.967761934	3	5	1	1	1
169	0	0.996914389	0.309447741	3.77863989	2.840712004	0.040164309	0.07028754	0.918758558	0.570515746	4.519397535	1.16522136	0.950251027	0.379735281	0.053400274	0.097215883	0.523961661	1.197170242	0.083979918	0.478320402	1.226837061	0.149703332	0.523961661	2.209949795	1.603377453	2.083067093	0.650387951	0.893655865	1.671839343	1.108626198	1.399817435	1.270196257	1.706070288	0.617526244	0.457781835	0.10360566	0.138749429	0.659516203	0.072569603	0.396622547	0.308534916	0.639434048	0.570972159	0.983569147	1.214057508	0.466910087	1.100867184	1.170698311	0.136010954	1.196713829	0.267914194	0.176175262	0.244637152	0.960292104	0.890917389	0.183021451	1.116385212	0.267457782	1.113646737	1	5	2	2	1
170	0	0.969691112	0.22136011	2.822911912	3.420812414	0.052943861	0.034230945	1.139662255	0.664993154	3.402099498	1.260611593	0.858055682	0.584664537	0.040164309	0.094477408	0.76266545	0.805111821	0.23368325	0.478320402	1.316750342	0.120036513	0.542674578	2.013692378	1.663167503	1.662254678	0.529438613	0.754450023	1.69237791	1.705613875	1.706983113	1.163852122	2.10725696	0.424007303	0.350981287	0.114103149	0.157005933	0.833865815	0.067549064	0.355545413	0.418073939	0.454586947	0.589228663	0.673208581	1.217252396	0.554541305	0.909173893	1.150616157	0.143769968	1.308991328	0.230488361	0.214057508	0.366042903	0.607028754	1.241442264	0.126882702	1.826106801	0.211775445	1.120036513	2	5	2	2	1
171	0	0.995915057	0.321314468	3.052031036	3.535828389	0.056595162	0.045184847	1.735737106	0.712916476	2.796896394	0.896850753	1.203103606	0.492925605	0.048836148	0.114559562	0.653582839	1.256960292	0.144226381	0.342309448	0.779552716	0.085805568	0.509356458	2.182108626	1.437699681	1.881789137	0.766773163	1.013692378	1.89274304	1.167959836	2.499771794	1.43404838	1.959835691	0.488361479	0.373801917	0.098128708	0.127795527	0.764034687	0.098128708	0.093564582	0.451848471	0.49566408	0.770424464	0.855317207	1.520310361	0.594705614	1.350068462	1.510725696	0.205842081	1.414879051	0.276586034	0.150159744	0.321770881	0.769055226	1.525787312	0.1195801	1.659516203	0.325422182	1.349612049	3	5	2	2	1
